Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,2.2,AWD,Diesel,8.7,5595,White / Black,"Caringbah, NSW",4.0,SUV,4.0,7.0,51990.0
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,1.5,Front,Premium,6.7,16,Black / Black,"Brookvale, NSW",4.0,Hatchback,5.0,5.0,19990.0
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,2.0,Rear,Premium,6.6,8472,Grey / White,"Sylvania, NSW",4.0,Coupe,2.0,4.0,108988.0
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,5.5,Rear,Premium,11.0,136517,White / Brown,"Mount Druitt, NSW",8.0,Coupe,2.0,4.0,32990.0
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,1.3,Front,Unleaded,6.0,1035,Grey / Black,"Castle Hill, NSW",4.0,SUV,4.0,5.0,34990.0
Toyota,2004,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,2.4,Other,Unleaded,9.5,160230,Grey / -,"Saint Marys, NSW",6.0,Commercial,4.0,7.0,9990.0
Land,2017,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,2.0,AWD,Diesel,5.1,67662,White / Black,"Blacktown, NSW",4.0,SUV,2.0,4.0,62280.0
Nissan,2000,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,1.6,Front,Unleaded,8.0,300539,Red / Grey,"Wentworthville, NSW",4.0,Hatchback,5.0,5.0,2995.0
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,2.0,Rear,Premium,7.1,82012,Black / -,"Mcgraths Hill, NSW",4.0,Coupe,2.0,4.0,24888.0
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,1.3,Front,Hybrid,4.5,38229,Blue / -,"Lidcombe, NSW",4.0,Hatchback,5.0,5.0,17900.0
Toyota,2009,HiAce,Carbarn,2009 Toyota HiAce (No Badge),USED,Automatic,2.0,Other,Unleaded,8.9,148190,White / -,"Lidcombe, NSW",6.0,Commercial,4.0,6.0,42500.0
Toyota,2018,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,2.7,Rear,Unleaded,9.8,16324,White / Grey,"Lidcombe, NSW",4.0,Commercial,4.0,2.0,41999.0
Honda,2015,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,1.5,Other,Unleaded,7.0,181745,Black / -,"Rouse Hill, NSW",4.0,Missing,4.0,5.0,11999.0
Toyota,2017,HiAce,USED Dealer ad,2017 Toyota HiAce,USED,Automatic,2.7,Other,Missing,7.8,136296,Silver / Grey,"Lidcombe, NSW",4.0,Missing,4.0,3.0,38999.0
Toyota,2016,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,3.0,Rear,Diesel,8.0,229829,White / Grey,"Lidcombe, NSW",4.0,Commercial,4.0,2.0,27995.0
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,1.4,Front,Premium,6.2,55676,White / Black,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,14999.0
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,2.0,4WD,Diesel,5.6,82624,Black / Black,"Haberfield, NSW",4.0,SUV,4.0,5.0,24985.0
Mitsubishi,2013,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,2.4,Other,Missing,8.7,120020,Blue / Grey,"Blacktown, NSW",4.0,Wagon,4.0,7.0,13999.0
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,2.0,Rear,Diesel,5.4,95204,Silver / -,"Five Dock, NSW",4.0,Hatchback,5.0,5.0,13999.0
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,1.0,Front,Unleaded,5.4,76289,White / Black,"Cabramatta, NSW",3.0,Hatchback,5.0,5.0,12400.0
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,2.4,AWD,Unleaded,7.5,219681,Black / Black,"Blacktown, NSW",4.0,SUV,4.0,7.0,13999.0
